,pitch,start,end,duration,next_note
13985,71,26,28,2,64_2
13986,71,26,28,2,69_2
13987,64,24,26,2,67_2
13988,64,20,24,4,60_4
13989,62,6,8,2,69_4
13990,62,24,26,2,62_2
13991,69,2,4,2,71_4
13992,60,8,10,2,60_2
13993,71,26,28,2,69_2
13994,62,24,26,2,62_2
13995,60,26,28,2,71_2
13996,62,26,28,2,65_2
13997,69,26,28,2,65_2
13998,60,2,4,2,71_4
13999,62,26,28,2,60_2
14000,62,2,4,2,71_2
14001,57,20,24,4,67_4
14002,65,2,4,2,71_4
14003,59,26,28,2,62_2
14004,62,26,28,2,71_2
14005,62,28,30,2,61_1
14006,64,26,28,2,70_1
14007,62,25,26,1,68_1
14008,65,24,26,2,64_2
14009,64,26,28,2,57_2
14010,60,20,24,4,69_4
14011,71,26,28,2,60_2
14012,71,26,28,2,69_2
14013,60,2,4,2,69_2
14014,64,26,28,2,64_2
14015,67,24,28,4,64_2
14016,69,26,28,2,60_2
14017,62,26,28,2,67_2
14018,62,26,28,2,62_2
14019,60,26,28,2,64_2
14020,60,20,24,4,71_4
14021,67,16,20,4,65_2
14022,60,26,28,2,67_2
14023,60,26,28,2,67_2
14024,65,24,28,4,69_2
14025,67,26,28,2,71_2
14026,65,20,24,4,62_4
14027,67,8,12,4,68_4
14028,71,24,26,2,62_2
14029,64,24,28,4,62_2
14030,65,26,28,2,60_2
14031,65,26,28,2,60_2
14032,64,14,16,2,71_4
14033,71,26,28,2,67_2
14034,71,22,24,2,69_4
14035,65,22,24,2,64_4
14036,71,22,24,2,62_2
14037,69,20,22,2,69_2
14038,60,26,28,2,62_2
14039,69,20,24,4,67_4
14040,64,20,24,4,60_4
14041,71,2,4,2,71_2
14042,64,24,26,2,67_2
14043,64,24,26,2,65_2
14044,60,26,28,2,69_2
14045,67,2,4,2,62_2
14046,64,24,26,2,67_2
14047,60,20,24,4,69_4
14048,69,24,26,2,64_2
14049,62,24,28,4,65_2
14050,69,24,26,2,69_2
14051,65,26,28,2,64_2
14052,62,24,28,4,64_2
14053,64,2,4,2,65_2
14054,71,22,24,2,69_4
14055,67,24,28,4,60_2
14056,69,24,26,2,65_2
14057,62,26,28,2,67_2
14058,65,26,28,2,65_2
14059,67,2,4,2,65_2
14060,67,2,4,2,65_2
14061,65,24,28,4,62_2
14062,60,27,28,1,62_2
14063,60,27,28,1,62_2
14064,69,24,28,4,67_2
14065,67,20,24,4,69_2
14066,62,24,26,2,62_2
14067,71,12,16,4,69_4
14068,69,6,8,2,64_2
14069,71,16,20,4,60_4
14070,67,12,14,2,65_2
14071,60,24,28,4,60_2
14072,60,24,28,4,60_2
14073,71,24,28,4,71_2
14074,62,24,26,2,71_2
14075,71,29,30,1,64_1
14076,69,24,26,2,62_2
14077,59,24,28,4,60_2
14078,71,4,8,4,60_4
14079,69,22,24,2,67_2
14080,64,24,26,2,69_2
14081,62,26,28,2,65_2
14082,62,24,26,2,62_2
14083,71,2,4,2,62_4
14084,67,26,28,2,65_2
14085,62,26,28,2,62_2
14086,67,26,28,2,62_2
14087,67,12,16,4,60_4
14088,69,2,4,2,71_2
14089,60,14,16,2,64_2
14090,69,26,28,2,67_2
14091,69,26,28,2,67_2
14092,69,26,28,2,67_2
14093,69,26,28,2,67_2
14094,69,26,28,2,67_2
14095,67,26,28,2,67_2
14096,64,4,8,4,60_4
14097,67,26,28,2,64_2
14098,67,24,26,2,62_2
14099,65,26,28,2,61_2
14100,65,29,30,1,62_1
14101,60,26,27,1,64_1
14102,65,20,24,4,64_4
14103,64,26,28,2,69_2
14104,64,26,28,2,69_2
14105,71,26,28,2,64_2
14106,69,26,28,2,62_2
14107,64,2,4,2,62_2
14108,69,26,28,2,69_2
14109,64,26,28,2,62_2
14110,62,24,28,4,64_2
14111,69,6,8,2,65_2
14112,65,20,24,4,69_4
14113,62,16,20,4,62_4
14114,69,24,28,4,60_2
14115,62,20,24,4,69_4
14116,60,22,24,2,69_4
14117,60,4,8,4,67_4
14118,64,20,24,4,67_4
14119,71,26,28,2,71_2
14120,64,29,30,1,71_1
14121,67,29,30,1,67_1
14122,67,29,30,1,67_1
14123,62,22,24,2,71_4
14124,60,26,28,2,62_2
14125,60,22,24,2,65_2
14126,64,24,28,4,62_2
14127,67,24,26,2,64_2
14128,60,24,26,2,63_2
14129,69,29,30,1,65_1
14130,67,2,4,2,60_2
14131,64,18,20,2,64_2
14132,62,26,28,2,65_2
14133,71,24,26,2,69_2
14134,65,12,14,2,62_2
14135,69,24,28,4,69_2
14136,64,2,4,2,60_2
14137,64,22,24,2,62_2
14138,59,18,20,2,57_2
14139,59,20,24,4,71_2
14140,71,22,24,2,65_4
14141,65,26,28,2,65_2
14142,64,24,26,2,64_2
14143,62,24,26,2,67_2
14144,67,24,28,4,60_2
14145,71,26,28,2,67_2
14146,64,26,28,2,65_2
14147,65,26,28,2,67_2
14148,60,24,28,4,62_2
14149,69,20,24,4,68_4
14150,50,29,30,1,69_1
14151,62,24,28,4,57_2
14152,65,26,28,2,65_2
14153,69,28,29,1,68_1
14154,53,27,28,1,66_1
14155,55,26,28,2,69_1
14156,60,28,29,1,69_1
14157,71,27,28,1,69_3
14158,67,26,28,2,61_1
14159,62,28,30,2,57_1
14160,69,29,30,1,59_1
14161,50,26,28,2,59_3
14162,50,26,28,2,59_3
14163,69,26,28,2,58_2
14164,69,26,28,2,58_2
14165,67,26,28,2,67_2
14166,64,24,28,4,65_2
14167,64,2,4,2,65_2
14168,69,22,24,2,71_2
14169,69,26,28,2,71_2
14170,65,20,22,2,60_2
14171,71,26,28,2,69_2
14172,71,26,28,2,69_2
14173,60,26,28,2,71_2
14174,62,20,24,4,67_2
14175,62,26,28,2,67_2
14176,62,26,28,2,62_2
14177,67,24,26,2,62_2
14178,62,24,26,2,64_2
14179,67,22,24,2,64_2
14180,62,26,28,2,60_2
14181,67,26,28,2,60_2
14182,65,26,28,2,67_2
14183,71,18,20,2,69_4
14184,60,26,28,2,59_2
14185,69,18,20,2,71_4
14186,69,20,24,4,64_4
14187,64,16,18,2,62_2
14188,60,28,29,1,62_1
14189,69,28,30,2,67_1
14190,62,26,27,1,64_1
14191,64,26,28,2,65_2
14192,69,10,12,2,62_2
14193,65,20,24,4,64_4
14194,64,16,18,2,71_2
14195,67,26,28,2,60_2
14196,67,26,28,2,60_2
14197,67,26,28,2,60_2
14198,57,29,30,1,67_1
14199,62,20,24,4,67_4
